review_id,priority,trial,issue_type,source_bor_value,source_file,source_column,reproduced_bor_binary,template_bor_binary,affected_rows,example_cimac_part_ids,current_confidence,evidence_summary,likely_cause,possible_reviewer_decision,recommended_action,reviewer_decision_blank
R001,P2,10026,mapped_to_other,"""CRm""",response_04282024.csv,D3_Alt_1,NA,CRm,25,"CBUP58Y; (and others)",0.0,"Source value is literal short code ""CRm"". Template's BOR.binary stores the same literal ""CRm"" for these rows.","value_normalizations.BOR.binary CRm list only contains the long form ""CR with MRD-""; the literal short code ""CRm"" used by 10026 source is not in the list, so the mapping silently fails and the cell is set to NA per the uncertainty policy.",Adopt the short code as a valid CRm label.,"Add ""CRm"" (the literal short code) to the BOR.binary.CRm list in scripts/config/harmonization_config.yaml value_normalizations. Low-risk: source label matches template label exactly.",
R002,P2,10026,mapped_to_other,"""CRi""",response_04282024.csv,D3_Alt_1,NA,CRi,11,"CBUPR3J; (and others)",0.0,"Source value is literal short code ""CRi"". Template's BOR.binary stores the same literal ""CRi"" for these rows.","Same as R001: value_normalizations.BOR.binary.CRi only matches ""CR with incomplete count recovery"".",Adopt the short code as a valid CRi label.,"Add ""CRi"" (the literal short code) to the BOR.binary.CRi list. Same low-risk rationale as R001.",
R003,P3,10026,source_ambiguity,"""-""",response_04282024.csv,D3_Alt_1,NA,-,2,"CBUPKKC; (and others)",0.0,"Source value is the literal dash character ""-"". Template preserves the same literal ""-"" in BOR.binary.","No rule for ""-"" exists in value_normalizations. Pipeline emits NA and flags per policy.","Decide whether ""-"" is a meaningful category (e.g., not-yet-evaluated) or a placeholder for missing data. The template uses it verbatim.","If the dash is a meaningful 10026-specific category, add ""-"" to a dedicated bucket (e.g., other or a trial-specific ""dash"" bucket). If it is missing data, keep as NA (preferred). 2 rows only — low impact.",
R004,P3,10026,missing_or_NA,"NaN (source blank)",response_04282024.csv,D3_Alt_1,NA,other,16,"CBUP0SR; (and others)",0.0,"Source BOR is NaN for these 16 rows. Template assigns ""other"" without source support.","Template appears to invent ""other"" when the response field is blank. The pipeline follows the no-silent-guessing policy and emits NA.","Keep current NA behavior (recommended) OR commit a rule that source-BOR=NaN → BOR.binary=""other"".","No code change recommended. Preserving NA is the more conservative, source-supported choice. The 16 template-vs-reproduced disagreements should be documented as a known template convention, not a pipeline bug.",
R005,P2,10104,R_vs_NR_mismatch,"""CR""","10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv / 10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv",best_response,R,NR,2,"CWWGE3G; (and others)",0.95,"Source best_response is ""CR"" (complete response). Pipeline maps CR → R per the standard CIDC rule. Template stores ""NR"".","Template anomaly: ""CR"" cannot clinically be a non-responder. Two rows in 10104 with this swap.","Confirm the template is in error and accept the pipeline mapping (R) as canonical. Alternatively, identify a hidden modifier (e.g., unconfirmed CR) that justifies NR.","Recommend keeping pipeline R. Document the 2 rows in template_anomalies.csv via the appropriate generator. Do NOT chase the template here.",
R006,P2,10104,R_vs_NR_mismatch,"""PD""","10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv / 10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv",best_response,NR,R,2,"CWWG289; (and others)",0.95,"Source best_response is ""PD"" (progressive disease). Pipeline maps PD → NR. Template stores ""R"".","Template anomaly: PD cannot clinically be a responder. Likely template entry error or downstream lumping rule unknown to us.","Confirm the template is in error and accept the pipeline mapping (NR) as canonical.","Recommend keeping pipeline NR. Document the 2 rows in template_anomalies.csv.",
R007,P2,10104,R_vs_NR_mismatch,"""PD""","10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv / 10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv",best_response,NR,SD,3,"CWWG5M5; (and others)",0.95,"Source best_response is ""PD"". Pipeline maps PD → NR. Template stores ""SD"".","Template anomaly: PD vs SD is a clear clinical distinction. Possible template error or a different definition of stable disease here.",Confirm template error; accept pipeline NR.,Recommend keeping pipeline NR. Document as template anomaly.,
R008,P3,10104,source_ambiguity,"""SD""","10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv / 10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv",best_response,SD,R,2,"CWWGJ7B; (and others)",0.95,"Source best_response is ""SD"". Pipeline emits the SD bucket (CIDC convention preserves SD as its own category). Template lumps SD into R for these 2 rows.","Convention difference: the original 9-trial template lumps SD into R sometimes; the current pipeline keeps SD as a distinct category per CIDC standards.","(a) Accept pipeline SD as canonical and document the convention difference, OR (b) commit a rule that SD always lumps into R for 10104.","Recommend (a). Treat SD as its own bucket — that is the CIDC convention this pipeline follows. The 2-row mismatch is a known template lumping behavior.",
R009,P3,10104,missing_or_NA,"NaN (source blank)","10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv / 10104_armc_response_pfsos_treatment_update16mar2023.2023-04-04.csv",best_response,NA,other,8,"CWWG2NJ; CWWGCA9; CWWGCSR; (and others)",0.0,"Source best_response is NaN for these 8 rows. Template assigns ""other"".","Same pattern as R004: template invents ""other"" for missing source data.",Keep current NA behavior (recommended).,"No code change recommended. Preserving NA is the source-supported choice.",
R010,P2,CIMAC-e4412,mapped_to_other,"""Unevaluable [<reason>]""",baseline_outcomes.xlsx,BEST_OVERALL_RESP_CONF,NA,other,8,"C29Z0DA; C29Z50Y; C29ZJ33; C29ZXOU; C29ZZOQ",0.0,"Every affected row has a source value of the form ""Unevaluable [<reason>]"" with a parenthetical (e.g., ""Unevaluable [Scan obtained <6wks(criteria for SD)]""). Template assigns ""other"" for all 8.","value_normalizations.BOR.binary.other includes the literal ""Unevaluable"" but not the bracketed variants. The exact-match rule fails so the cell is set to NA.","Adopt a substring/prefix rule that ""Unevaluable"" anywhere in the source string maps to ""other"" in BOR.binary (and ""other"" in BOR).","Add a contains-rule (kind: contains) ""Unevaluable"" → other to BOR.binary and BOR value_normalizations, with confidence 0.95. Evidence: source label clearly indicates unevaluable; CIDC convention maps UE/Unevaluable to other; template confirms.",
R011,P2,10013,new_trial_no_template,"""Protocol-defined pCR (no histology evidence of invasive tumor cells in the surgical breast specimen and sentinel or axillary lymph nodes)""",response_updated_2024-11-07.csv,D1,NA,(no template),196,"CHCO0M4; (and others — all 10013 rows)",0.0,"All 196 rows have an identical source value: a long English description of protocol-defined pathological complete response. The pipeline maps source.D1 → BOR via the column_map but there is no rule that turns this English description into a CIDC BOR code, so BOR is NA and BOR.binary is set to NA via derived_bor_binary_no_BOR.","No value_map entry for the long-form pCR description. The trial protocol's response is a single binary endpoint (pCR yes/no), and the source carries the positive class explicitly; absence of this text likely means non-pCR but this is not source-confirmed.","Confirm clinical mapping: (a) pCR description → BOR=CR (or a new pCR bucket); BOR.binary=R. (b) Absent/no-pCR cases — confirm whether they exist in source and how they are encoded.","After clinical confirmation, add a value_map entry for the long-form description (or a contains-rule for ""Protocol-defined pCR""). New-trial confidence rationale: rule should only be committed once a clinical reviewer confirms that the textual description maps unambiguously to CR/R.",
R012,P3,14C0059G,new_trial_no_template,"""SD"" (16) / ""PD"" (6) / NaN (1)",response_off_treatment_date_of_death.csv,Best Response to Treatment_Short Value,"SD (16); NR (6); NA (1)",(no template),23,"(all 14C0059G rows)",0.95,"Source uses standard CIDC short codes ""SD"" and ""PD"". Pipeline applies the global value_normalizations rules to produce BOR.binary in {SD, NR, NA}. Confidence 0.95 on the 22 mapped rows.","Standard mapping; nothing anomalous. Confidence for new-trial cells is supported by (a) source label matches a CIDC canonical category, (b) extraction_method = derived_bor_binary (deterministic), (c) global value_map has documented evidence.","Confirm the pipeline mapping is acceptable for this trial. No change required for the 22 mapped rows. The 1 NA row should be confirmed as truly missing source data.","Recommend acceptance as-is. Document acceptance in the handoff for the new-trial review pass.",
R013,P3,ABTC1603,mapped_to_other,(trial_constant),(no source),(none),other,other,148,"(all ABTC1603 rows)",0.95,"BOR.binary is emitted as the trial_constant ""other"" for all 148 ABTC1603 rows. Template is also constant ""other"" (committed assumption, P1#3 in handoff §4).","Committed assumption with full template confirmation. Not a defect.",Keep as-is.,"No action required. Listed here for completeness so reviewers see the full BOR.binary picture across trials.",
