"priority","item_id","trial","field","affected_rows","match_rate","classification","example_cimac_part_ids","template_value","pipeline_value","source_file","source_column","source_quote_or_value","interpretation","exact_human_question","recommended_decision","what_to_tell_claude"
"P1","D5","CIMAC-s1400i","age","561","0.000","missing_source_file_decimal_age_truncated","CCZRBHF (template 50.5, source age_num=50, constant across Baseline/Cycle_2/Cycle_4/Cycle_5/Progression); CCZRI99 (47.9 vs 47); CCZR3KB (83.8 vs 83)","50.5 / 47.9 / 83.8 (decimal years)","NaN (flagged)","S1400I-clinical/Clinical Dataset 2023_03_14.csv","age_num","'age_num | age_num | Age truncated ... Age truncated to remove identifying specificity' / '... PHI removed ... changed age > 89 to 90 or older' (S1400I-clinical/CIDC_Annotations_S1400I_20230323.xlsx Sheet1)","Decimal portion deliberately truncated upstream; no per-sample collection date in any S1400I source file; template age is per-patient (not per-sample) so collection dates would not help.","Can SWOG sponsor supply per-patient un-truncated age_decimal? If not, accept enrollment-integer-age substitute or permanent NA.","Supply S1400I-clinical/age_decimal.csv OR substitute age_num OR accept NA","See source_evidence_decision_memo.md D5 (unchanged)."
"P1","D4","10013;14C0059G","Cimac.id","219","n/a (new trials)","missing_source_file_cimac_id_absent","10013: CHCO0M4 (Baseline / Definitive Surgery / Post Cycle 1); 14C0059G: CA44RBE (DAY 60 / SCREENING); CA445VY (SCREENING)","(no template - new trials)","NaN (flagged; extraction_method=cimac_id_unavailable)","10013-clinical/CIDC_Annotation_2024-11-08.xlsx ; 14C0059G-clinical/research_sample_collection_apheresis.csv","Annotations sheet row 1 ; (no sample-id column anywhere)","'cimac_part_id ... Reason for Transformation: Added in the specimen cimac_id when available' (10013-clinical/CIDC_Annotation_2024-11-08.xlsx Annotations sheet)","CIDC team explicitly states sample IDs were added 'when available'; brute-force regex of every cell in all source CSVs found only participant IDs. No 3rd option available from current source set.","Can CIMAC sample manifests be supplied per trial (columns cimac_part_id, Cimac.id, Collection_Event)? If not, accept permanent NA.","Supply external manifests OR accept NA","See source_evidence_decision_memo.md D4 (unchanged)."
"P1","D6","10013","arm;phase;os_*;pfs_*;BOR.binary;bor_bin;pfs_bin;Collection_Event_alt","196","n/a (new trial)","missing_source_files_and_codebook_ambiguity","CHCO0M4 (all 3 timepoints); 51 distinct participants total","(no template)","NaN (flagged)","10013-clinical/response_updated_2024-11-07.csv ; (no survival or arm source)","D1 (BOR free-text) ; (no survival/arm columns)","D1 example: 'Protocol-defined pCR (no residual invasive cancer in the breast or axillary lymph nodes ...)' (10013-clinical/response_updated_2024-11-07.csv); flagged reasons include '10013 arm not derivable from source - flag' and '10013 os_stat not derivable from response file - flag'","Source 10013 files do not contain survival, arm assignment, or Collection_Event bucket map. BOR is a long free-text describing pCR; almost certainly maps to R but needs clinical confirmation.","(1) Should the pCR text map to BOR.binary=R via a contains rule? (2) Can survival CRFs be supplied? (3) Can arm assignment be supplied (or accept 'Others')? (4) Can a Collection_Event_alt bucket map be supplied?","Approve 'Protocol-defined pCR' → R via contains rule; supply survival + arm + CE-alt map separately","Approved: implement 10013 (a) value_map 'Protocol-defined pCR' → R via contains rule; (b) Collection_Event_alt map (confirm bucket choices with reviewer); (c) trial_constants for phase=II, arm=Others; rerun and summarize."
"P2","D7","10104","os_time;pfs_time;os_stat;BOR.binary","40","0.812 (os_time)","pipeline_rule_refinement_per_patient_anchor","CWWG289 (Baseline, template os_time=84 vs pipeline 1037); CWWGSQK (template 707 vs pipeline 966)","84 / 124 / 102 / 707","1037 / 250 / 183 / 966","10104-clinical/10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv","Days from first_cycle_first_day to tx_phase_end_dt (matches template) vs overall survival time in days from first_cycle_first_day to DEATH_DT or last_follow_up_date (current pipeline)","For CWWG289 row 32: 'Days from first_cycle_first_day to tx_phase_end_dt = 84' (template); 'overall survival time ... DEATH_DT or last_follow_up_date = 1037' (pipeline); 'progression free survival time ... = 56' (pipeline)","Template uses tx_phase_end_dt anchor for crossover / off-treatment patients (CWWG289 has non-null 'Date_of_treatment Cross Over from Arm B to Arm C = 91') and survival columns for standard cases. Pipeline uses single global rule.","Should 10104 extractor switch to a conditional anchor (tx_phase_end_dt for crossover/off-treatment, survival cols otherwise)?","Implement conditional anchor; closes ~40 os_time + ~14 pfs_time + 7+7 downstream bin mismatches","Approved: 10104 OS/PFS anchor refinement. For patients with non-null 'Date_of_treatment Cross Over from Arm B to Arm C' use '...to tx_phase_end_dt'; else current rule. Implement via config + extractor; rerun and summarize."
"P2","D8","ABTC1603","pfs_stat;pfs_bin","15","0.899","pipeline_rule_refinement_death_not_counted_as_pfs_event","CG07P2D (Vital=DEAD, Days to Progression=NaN, Days to Death=25, template pfs_stat=1, pipeline pfs_stat=0); CG07BWT (DEAD, NaN, 19, 1, 0); CG07TYT (DEAD, NaN, 377, 1, 0); CG078EH (DEAD, NaN, 698, 1, 0); CG07XDN (DEAD, NaN, 260, 1, 0)","1","0","ABTC1603-clinical/abtc_1603_treatmentresponse_03042024_2024-04-17.csv","Vital Status; Days to Progression; Days to Death","CG07P2D: Vital Status='DEAD', Days to Progression=NaN, Days to Death='25', Days to Last Contact='25'","Pipeline rule is 'pfs_stat=1 iff Days to Progression non-null'. Standard oncology convention is 'pfs_stat=1 iff progression OR death without prior progression'. Template applies the standard convention.","Approve switching ABTC1603 pfs_stat rule to '1 iff (Days to Progression non-null) OR (Vital Status = DEAD)'?","Switch to standard convention","Approved: ABTC1603 pfs_stat rule = 1 iff (Days to Progression non-null) OR (Vital Status='DEAD'). Implement via scripts/extractors/abtc1603.py; preserve provenance with extraction_method=derived_pfs_stat_progression_or_death; rerun and summarize."
"P2","D9","10026","BOR.binary;bor_bin","54","0.748 (BOR.binary); 0.832 (bor_bin)","clinical_decision_pending_after_D3a","CBUPOJV (CRm vs R); CBUPYC2 (CRi vs R); CBUPKKC (- vs NaN); CBUPA3F (source blank/MLFS; template=other vs pipeline NaN)","CRm (25) / CRi (11) / - (2) / other (16)","R (25) / R (11) / NaN (2) / NaN (16)","10026-clinical/response_04282024.csv","D3_Alt_1","'CRm | Bone Marrow CR' and 'CRi | Morphologic Complete Remission with Incomplete Blood Count Recovery' (10026-clinical/Data_Dictionary.xlsx Sheet1 rows 92-94)","D3a (CRm/CRi -> R) is in effect and closed the SD-row bor_bin gap. The residual 54 BOR.binary mismatches are a direct trade-off; the 36 bor_bin NaN-vs-1 mismatches are downstream of D3a.","Keep R-mapping (and add 54 rows to template_anomalies.csv), OR switch to pass-through (CRm/CRi preserved verbatim, bor_bin returns to NaN)?","Default: keep R-mapping; add residual 54 rows to template_anomalies.csv","Approved: keep CRm/CRi -> R; document residual 54 rows in template_anomalies.csv. OR Approved: switch CRm/CRi to pass-through; remove from R bucket and re-emit verbatim; rerun and summarize."
"P2","10104-template-anomalies","10104","BOR;BOR.binary;os_stat","43","0.920-0.958","template_anomalies_and_source_NaN_to_template_other","CWWG289 (BOR template=PR vs pipeline=PD, source=PD); R005-R009 patterns in bor_binary_review_candidates.md","PR / SD / R / NR / other (various)","PD / PD / NR / R / NaN (various)","10104-clinical/10104_armaandb_response_pfsos_treatment_update.2023-04-04.csv","best_response","CWWG289 row 32: best_response='PD' (source matches pipeline; template anomalously says 'PR')","Most mismatches are template anomalies where the template's value contradicts source (R005-R007). Per existing recommendation, keep pipeline output and add to template_anomalies.csv.","Confirm template_anomalies treatment for R005-R009?","Add 7 rows to template_anomalies.csv; keep pipeline values","Approved: add R005-R009 rows to template_anomalies.csv via generate_review_report.py (no code change beyond the anomalies-emit step)."
"P3","D10","CIMAC-e4412","os_time;pfs_time","19","0.934-0.952","source_pipeline_rounding_ambiguity","C29ZDAX (source os_wk=2.97331, computed days=91, template=90); C29ZE03 (pfs_time 22 vs 21); multiple (34 vs 33; 68 vs 67)","90 / 21 / 33 / 67","91 / 22 / 34 / 68","E4412-clinical/baseline_outcomes.xlsx","os_wk; pfs_wk","C29ZDAX os_wk='2.97331'; computed: round(2.97331 * 30.4375) = round(90.51) = 91 (pipeline) but template = 90","Template applies floor/int() truncation; pipeline applies round(). All 19 mismatches are off-by-1.","Approve switching from round() to int() truncation for e4412 month->day conversion?","Switch to int() truncation","Approved: change round(months * 30.4375) -> int(months * 30.4375) in e4412 (and verify s1400i symmetry). Implement via scripts/extractors/e4412.py; preserve provenance; rerun and summarize."
"P3","D11","CIMAC-e4412","BOR;BOR.binary","16","0.952","source_codebook_ambiguity_bracketed_unevaluable","C29Z0DA (BEST_OVERALL_RESP_CONF='Unevaluable [Scan obtained <6wks(criteria for SD)]')","other","Unevaluable [<reason>] (verbatim) / NaN","E4412-clinical/baseline_outcomes.xlsx","BEST_OVERALL_RESP_CONF","'Unevaluable [Scan obtained <6wks(criteria for SD)]', 'Unevaluable [No follow-up dx assessment; patient death]', 'Unevaluable [NPT before first dx assessment follow-up]', 'Unevaluable [pt went off tx after C1]', 'Unevaluable [Pt ended tx after C1]'","YAML expects literal 'Unevaluable'; source has bracketed variants. Add a contains-rule.","Approve contains: 'Unevaluable' rule for BOR and BOR.binary -> other?","Add contains rule","Approved: in value_normalizations.BOR and value_normalizations.BOR.binary, add contains: 'Unevaluable' -> other (confidence 0.95). Implement via config; rerun and summarize."
"P3","D13","CIMAC-gu16257","pfs_time;pfs_bin","6","0.980 / 0.990","source_codebook_ambiguity_fallback_edge_cases","CM5P4LH (DFSTIM=253, template=205, pipeline=253); CM5PWSN (DFSTIM=154, RECCUR=NaN, template=NaN, pipeline=154)","205 / NaN","253 / 154","GU16-257-clinical/response.2023-01-04.csv","DFSTIM; DRFSTIM; RECCUR; CLCRFL","CM5P4LH: DFSTIM='253', DRFSTIM=NaN, CLCRFL='N', RECCUR='N'; CM5PWSN: DFSTIM='154', DRFSTIM=NaN, CLCRFL='N', RECCUR=NaN","For CM5PWSN, pipeline emits 154 (from DFSTIM) but template kept NaN - likely because RECCUR=NaN. Refining the fallback to require RECCUR non-null would close 2 of the 4 mismatches and the 2 pfs_bin downstream.","Refine fallback to require RECCUR non-null?","Refine fallback","Approved: gu16257 pfs_time fallback = DFSTIM if (RECCUR non-null) else (DRFSTIM if non-null else NaN). Update extractor; rerun and summarize."
